AtomicNum,Symbol,Name,Spin,GyrRad,GyrHz
1,e,1e,0.5,1.76E+05,28024.95164
1,n,1n,0.5,-18.3247183,-29.16469498
1,H,1H,0.5,26.7522208,42.57748179
2,H (D),2D,1,4.10662919,6.53590335
3,H (T),3T,0.5,28.5349865,45.41484153
3,He,3He,0.5,-20.3789473,-32.43410198
6,Li,6Li,1,3.937127,6.26613224
7,Li,7Li,1.5,10.397704,16.54845988
9,Be,9Be,1.5,-3.75966,-5.98368473
10,B,10B,3,2.87467955,4.5751946
11,B,11B,1.5,8.584707,13.66298554
13,C,13C,0.5,6.728286,10.70839975
14,N,14N,1,1.9337798,3.07770614
15,N,15N,0.5,-2.7126189,-4.31726707
17,O,17O,2.5,-3.62806,-5.77423683
19,F,19F,0.5,25.16233,40.04709199
21,Ne,21Ne,1.5,-2.113081,-3.36307286
23,Na,23Na,1.5,7.0808516,11.26952533
25,Mg,25Mg,2.5,-1.63884,-2.60829487
26,Al,26Al,5,2.686,4.27490177
27,Al,27Al,2.5,6.976278,11.10309128
29,Si,29Si,0.5,-5.31903,-8.46549917
31,P,31P,0.5,10.8394,17.2514409
33,S,33S,1.5,2.055685,3.27172429
35,Cl,35Cl,1.5,2.6241991,4.17654258
37,Cl,37Cl,1.5,2.1843688,3.47653092
39,Ar,39Ar,3.5,-2.17,-3.45366227
39,K,39K,1.5,1.2500612,1.98953419
40,K,40K,4,-1.554286,-2.473723
41,K,41K,1.5,0.68614062,1.09202671
41,Ca,41Ca,3.5,-2.182306,-3.47324787
43,Ca,43Ca,3.5,-1.803069,-2.86967344
45,Sc,45Sc,3.5,6.5088,10.35907694
47,Ti,47Ti,2.5,-1.51054,-2.40409908
49,Ti,49Ti,3.5,-1.51095,-2.40475161
50,V,50V,6,2.67065,4.25047149
51,V,51V,3.5,7.0455139,11.21328364
53,Cr,53Cr,1.5,-1.51518,-2.41148387
53,Mn,53Mn,3.5,6.875,10.94190234
55,Mn,55Mn,2.5,6.64525453,10.57625107
57,Fe,57Fe,0.5,0.8680627,1.3815647
59,Fe,59Fe,1.5,-1.0722,-1.7064593
59,Co,59Co,3.5,6.332,10.077691
60,Co,60Co,5,3.639,5.79164838
61,Ni,61Ni,1.5,-2.39477,-3.81139483
63,Cu,63Cu,1.5,7.111791,11.31876692
65,Cu,65Cu,1.5,7.6043,12.10261934
67,Zn,67Zn,2.5,1.6766885,2.66853263
69,Ga,69Ga,1.5,6.43886,10.24776397
71,Ga,71Ga,1.5,8.18117,13.02073646
73,Ge,73Ge,4.5,-0.9360306,-1.48973897
75,As,75As,1.5,4.59615,7.31499992
77,Se,77Se,0.5,-5.13,-8.15730835
79,Se,79Se,0.5,-1.393,-2.21702836
79,Br,79Br,1.5,6.725619,10.70415509
81,Br,81Br,1.5,7.249779,11.53838164
83,Kr,83Kr,4.5,-1.033097,-1.64422494
85,Rb,85Rb,2.5,2.5927059,4.1264196
87,Rb,87Rb,1.5,8.786403,13.98399469
87,Sr,87Sr,4.5,-1.163938,-1.85246486
89,Y,89Y,0.5,-1.316279,-2.09492309
91,Zr,91Zr,2.5,-2.49743,-3.9747833
93,Nb,93Nb,4.5,6.5674,10.45234173
95,Mo,95Mo,2.5,-1.7514,-2.78743967
97,Mo,97Mo,2.5,-1.7884,-2.846327
99,Mo,99Mo,0.5,3.59,5.71366246
99,Tc,99Tc,4.5,6.0503,9.62935152
99,Ru,99Ru,2.5,-1.228,-1.9544227
101,Ru,101Ru,2.5,-1.372,-2.18360582
103,Rh,103Rh,0.5,-0.84677,-1.34767631
105,Pd,105Pd,2.5,-1.23,-1.9576058
107,Ag,107Ag,0.5,-1.088918,-1.73306682
109,Ag,109Ag,0.5,-1.2519,-1.99246073
111,Cd,111Cd,0.5,-5.698315,-9.06915
113,Cd,113Cd,0.5,-5.960917,-9.48709406
113,In,113In,4.5,5.8845,9.36547263
115,In,115In,4.5,5.8972,9.3856853
115,Sn,115Sn,0.5,-8.8013,-14.00770401
117,Sn,117Sn,0.5,-9.5888,-15.26104918
119,Sn,119Sn,0.5,-10.0317,-15.96594643
121,Sb,121Sb,2.5,6.4435,10.25514876
123,Sb,123Sb,3.5,3.4892,5.55323427
125,Sb,125Sb,3.5,3.6,5.72957795
123,Te,123Te,0.5,-7.059101,-11.23490818
125,Te,125Te,0.5,-8.510843,-13.54542733
127,I,127I,2.5,5.38957,8.57776707
129,I,129I,3.5,3.5866,5.70825119
129,Xe,129Xe,0.5,-7.4521,-11.86038551
131,Xe,131Xe,1.5,2.209077,3.51585524
133,Cs,133Cs,3.5,3.533256,5.62335158
135,Ba,135Ba,1.5,2.67769,4.261676
137,Ba,137Ba,1.5,2.99287,4.76330055
137,La,137La,3.5,3.688,5.8696343
138,La,138La,5,3.55724,5.6615233
139,La,139La,3.5,3.808333,6.06115022
139,Ce,139Ce,1.5,3.38,5.37943708
141,Ce,141Ce,3.5,1.49,2.37140865
141,Pr,141Pr,2.5,8.1907,13.03590392
143,Nd,143Nd,3.5,-1.4574,-2.31952414
145,Nd,145Nd,3.5,-0.898,-1.42921139
145,Pm,145Pm,2.5,7.3,11.61831085
147,Sm,147Sm,3.5,-1.115,-1.77457762
149,Sm,149Sm,3.5,-0.9192,-1.46295224
151,Eu,151Eu,2.5,6.651,10.58539527
153,Eu,153Eu,2.5,2.9357,4.67231166
155,Gd,155Gd,1.5,-0.8212,-1.30698039
157,Gd,157Gd,1.5,-1.077,-1.71409874
159,Tb,159Tb,1.5,6.431,10.23525439
161,Dy,161Dy,2.5,-0.92,-1.46422548
163,Dy,163Dy,2.5,1.289,2.05150722
163,Ho,163Ho,3.5,5.79,9.21507121
165,Ho,165Ho,3.5,5.654,8.99862048
166,Ho,166Ho,7,2.46,3.9152116
167,Er,167Er,3.5,-0.7716,-1.22803954
169,Er,169Er,0.5,4.646,7.39433866
169,Tm,169Tm,0.5,-2.21,-3.51732424
171,Tm,171Tm,0.5,-2.18,-3.46957776
171,Yb,171Yb,0.5,4.7288,7.52611895
173,Yb,173Yb,2.5,-1.30251,-2.07300905
175,Lu,175Lu,3.5,-3.0547,-4.86170605
176,Lu,176Lu,7,2.168,3.45047917
177,Hf,177Hf,3.5,1.0858,1.72810437
179,Hf,179Hf,4.5,-0.682,-1.08543671
179,Ta,179Ta,3.5,3.132,4.98473282
180,Ta,180Ta,9,2.568,4.08709894
181,Ta,181Ta,3.5,3.2438,5.16266804
183,W,183W,0.5,1.1282407,1.79565084
185,Re,185Re,2.5,6.1057,9.71752336
187,Re,187Re,2.5,6.1682,9.8169952
187,Os,187Os,0.5,0.6192897,0.98563017
189,Os,189Os,1.5,2.10713,3.35360155
191,Ir,191Ir,1.5,0.4812,0.76585359
193,Ir,193Ir,1.5,0.5227,0.83190289
195,Pt,195Pt,0.5,5.8385,9.29226135
197,Au,197Au,1.5,0.47306,0.75289837
199,Hg,199Hg,0.5,4.845793,7.71231909
201,Hg,201Hg,1.5,-1.78877,-2.84691588
203,Tl,203Tl,0.5,15.539339,24.73162614
205,Tl,205Tl,0.5,15.692186,24.9748897
205,Pb,205Pb,2.5,1.3635,2.17007765
207,Pb,207Pb,0.5,5.5767,8.87559371
209,Bi,209Bi,4.5,4.3747,6.9625513
209,Po,209Po,0.5,6.51,10.3609868
211,Rn,211Rn,0.5,5.76,9.16732472
212,Fr,212Fr,5,4.43,7.05056398
225,Ra,225Ra,0.5,-7.03,-11.1885925
227,Ac,227Ac,1.5,3.5,5.57042301
229,Th,229Th,2.5,0.88,1.4005635
231,Pa,231Pa,1.5,6.42,10.21774735
233,U,233U,2.5,1.13,1.79845086
235,U,235U,3.5,-0.52,-0.8276057
238,U,238U,0,,0
237,Np,237Np,2.5,6.02,9.58112757
239,Pu,239Pu,0.5,1.94,3.0876059
241,Pu,241Pu,2.5,-1.3,-2.06901426
241,Am,241Am,2.5,3.03,4.82239478
243,Am,243Am,2.5,2.87,4.56774687
243,Cm,243Cm,2.5,0.79,1.25732405
245,Cm,245Cm,3.5,0.68,1.08225361
247,Cm,247Cm,4.5,0.39,0.62070428
247,Bk,247Bk,-1.5,,0
249,Bk,249Bk,3.5,2.7,4.29718346
251,Cf,251Cf,0.5,,0
252,Es,252Es,-5,,0
253,Es,253Es,3.5,5.61,8.92859231
253,Fm,253Fm,-0.5,,0
257,Fm,257Fm,-4.5,,0
